Gene	sgRNA	D7_R1|beta	D7_R1|z	D7_R1|p-value	D7_R1|fdr	D7_R1|wald-p-value	D7_R1|wald-fdr	D7_R2|beta	D7_R2|z	D7_R2|p-value	D7_R2|fdr	D7_R2|wald-p-value	D7_R2|wald-fdr	PLX7_R1|beta	PLX7_R1|z	PLX7_R1|p-value	PLX7_R1|fdr	PLX7_R1|wald-p-value	PLX7_R1|wald-fdr	PLX7_R2|beta	PLX7_R2|z	PLX7_R2|p-value	PLX7_R2|fdr	PLX7_R2|wald-p-value	PLX7_R2|wald-fdr
ATP5O	2	-0.0003058	-0.0023499	0.62998	0.96217	0.99813	0.99921	0.10443	0.80947	0.29793	0.88513	0.41825	0.56389	0.23826	1.8894	0.14238	0.80578	0.058833	0.12193	0.04735	0.3554	0.51912	0.94637	0.72229	0.81709
CUL7	3	-0.23849	-2.5405	0.60056	0.95966	0.011069	0.03228	-0.27308	-2.9078	0.50476	0.94175	0.0036397	0.013214	-0.31265	-3.3686	0.38197	0.91324	0.00075564	0.0032548	-0.28746	-2.991	0.43412	0.92998	0.0027811	0.010751
MRPL28	3	-0.0040621	-0.03729	0.64238	0.96404	0.97025	0.98327	-0.02516	-0.23108	0.68827	0.96862	0.81725	0.88619	-0.22006	-2.036	0.59665	0.96294	0.041753	0.092378	0.052532	0.47076	0.50376	0.94282	0.63781	0.75471
IFT88	3	-0.086281	-0.88375	0.92446	0.99569	0.37683	0.51895	-0.29436	-2.9835	0.45438	0.92897	0.0028493	0.010713	-0.12123	-1.2593	0.89654	0.99104	0.20792	0.32735	-0.18019	-1.7938	0.72034	0.97875	0.072846	0.15299
VAMP2	4	-0.086568	-0.9805	0.92558	0.99608	0.32684	0.46796	0.094034	1.0779	0.32264	0.89042	0.28109	0.42359	0.02997	0.34746	0.59259	0.96221	0.72824	0.81295	0.093096	1.0426	0.39038	0.91568	0.29714	0.44136
KRTDAP	3	-0.1226	-1.1866	0.95031	0.99725	0.23538	0.3669	-0.08106	-0.78823	0.88765	0.99024	0.43056	0.57444	0.02502	0.24884	0.60801	0.96491	0.80348	0.86893	-0.033023	-0.31324	0.78571	0.98499	0.7541	0.84009
FANCG	2	-0.080176	-0.56228	0.90402	0.99475	0.57392	0.69759	-0.27355	-1.8881	0.5037	0.94126	0.059006	0.12897	-0.33733	-2.3802	0.33638	0.90005	0.017303	0.045028	-0.074921	-0.50716	0.93265	0.99689	0.61205	0.73485
ASB9	3	-0.13058	-1.4522	0.92451	0.99569	0.14646	0.25593	-0.025108	-0.28048	0.68808	0.96862	0.77911	0.85927	0.0043746	0.049312	0.67563	0.97465	0.96067	0.97443	-0.068458	-0.75238	0.91058	0.99671	0.45182	0.59817
PSTPIP2	2	0.099823	0.77083	0.34038	0.9047	0.44081	0.5802	0.0043044	0.033088	0.58466	0.95479	0.9736	0.98426	0.48618	3.8878	0.017039	0.4776	0.00010116	0.00056082	0.26686	2.0347	0.097331	0.73104	0.041879	0.099021
RBM46	3	-0.34943	-3.3097	0.35624	0.91043	0.0009339	0.0039813	-0.33303	-3.1653	0.37327	0.9095	0.0015493	0.0063785	-0.36242	-3.5111	0.29498	0.88983	0.00044626	0.0020702	-0.30327	-2.7956	0.40094	0.91992	0.0051797	0.01807
LILRB3	4	-0.14442	-1.6729	0.88012	0.99461	0.094341	0.18213	-0.099008	-1.1516	0.95116	0.99582	0.2495	0.38822	-0.015346	-0.18177	0.74274	0.97851	0.85576	0.90463	-0.01574	-0.17984	0.72626	0.97931	0.85728	0.91077
NKX6-3	3	-0.095996	-0.69802	0.95829	0.99833	0.48516	0.62003	-0.0044087	-0.03247	0.61785	0.9599	0.9741	0.98444	-0.032349	-0.24442	0.80118	0.98456	0.8069	0.87104	-0.02726	-0.19148	0.76628	0.984	0.84815	0.90432
ZNF324B	3	-0.21295	-1.9294	0.67072	0.96958	0.053679	0.11649	-0.24091	-2.1827	0.58819	0.95539	0.02906	0.073277	-0.20988	-1.9501	0.62508	0.96842	0.051159	0.10889	-0.35179	-3.0267	0.31094	0.88402	0.0024726	0.0097488
FAM54B	6	0.034291	0.51671	0.51758	0.94349	0.60536	0.72224	0.0012016	0.018103	0.59778	0.957	0.98556	0.99199	0.01124	0.17131	0.65284	0.97214	0.86398	0.91028	0.048274	0.71542	0.51636	0.94515	0.47435	0.61875
PDS5B	4	-0.32366	-3.5444	0.40467	0.93185	0.00039347	0.0018793	-0.31691	-3.4797	0.40463	0.91597	0.000502	0.0024056	-0.25109	-2.8254	0.51665	0.94288	0.0047221	0.015499	-0.53622	-5.5668	0.10648	0.74927	2.59E-08	4.06E-07
FAM54A	3	0.026076	0.25027	0.54126	0.94666	0.80238	0.87061	0.029115	0.27998	0.50328	0.94126	0.77949	0.85958	0.19142	1.8861	0.20723	0.85662	0.05928	0.12267	0.14414	1.3605	0.27219	0.86768	0.17367	0.29615
KNCN	4	-0.15503	-1.7346	0.84597	0.99176	0.082809	0.16403	-0.017885	-0.20231	0.66336	0.96625	0.83968	0.90053	-0.077206	-0.88513	0.95581	0.9971	0.37609	0.51104	0.039403	0.43573	0.54366	0.95182	0.66303	0.77414
EGF	4	-0.046905	-0.60492	0.78828	0.98444	0.54523	0.67339	-0.039833	-0.51428	0.73964	0.97427	0.60706	0.72866	-0.038732	-0.50429	0.82324	0.98827	0.61406	0.72448	-0.010245	-0.13057	0.70731	0.97736	0.89612	0.93593
PITX1	4	0.018309	0.20104	0.56467	0.95334	0.84067	0.89761	0.10324	1.1419	0.30055	0.88513	0.25349	0.39266	0.16767	1.8905	0.24783	0.88466	0.058687	0.12168	0.10046	1.081	0.37182	0.90979	0.27972	0.42233
SLC27A5	3	0.0012193	0.011579	0.62415	0.96217	0.99076	0.99568	-0.21356	-2.0004	0.66469	0.96634	0.045462	0.10479	-0.22546	-2.1552	0.58281	0.95969	0.031149	0.073039	-0.13273	-1.2107	0.87074	0.99452	0.22602	0.36113
TSPAN5	4	0.1206	1.3032	0.29258	0.88471	0.19249	0.31513	-0.10692	-1.1393	0.97941	0.99757	0.25457	0.39399	-0.031942	-0.34885	0.79984	0.98451	0.7272	0.8123	0.093138	0.97843	0.39025	0.91568	0.32786	0.47462
BCL9L	4	-0.07778	-0.75675	0.89604	0.99463	0.4492	0.58823	-0.13193	-1.2803	0.92947	0.99413	0.20043	0.32921	-0.28287	-2.7821	0.44437	0.92939	0.0054001	0.017266	-0.31863	-2.8926	0.37038	0.90893	0.0038207	0.01405
SEC31B	4	-0.11633	-1.2201	0.97135	0.99833	0.22244	0.35142	-0.12281	-1.2902	0.96289	0.9969	0.197	0.32514	0.067186	0.72895	0.48178	0.9374	0.46603	0.59528	0.01639	0.16871	0.61667	0.96399	0.86603	0.91659
FGF21	4	-0.21664	-2.2371	0.66019	0.9684	0.02528	0.0641	-0.14655	-1.5261	0.87968	0.98949	0.12698	0.23325	-0.30193	-3.18	0.40355	0.92165	0.0014729	0.0057818	-0.26477	-2.6229	0.48658	0.94281	0.0087189	0.027923
HECA	3	-0.032897	-0.32197	0.74052	0.98056	0.74747	0.83244	-0.18306	-1.7773	0.75922	0.97858	0.075524	0.15654	-0.17948	-1.7752	0.71298	0.97739	0.075862	0.14926	-0.25474	-2.383	0.51109	0.94418	0.017171	0.0488
TRMT6	3	-0.94813	-8.8023	0.013261	0.40515	1.34E-18	5.52E-17	-0.78694	-7.4453	0.027361	0.50971	9.67E-14	2.69E-12	-0.62154	-6.1049	0.065848	0.70633	1.03E-09	1.71E-08	-0.49343	-4.6311	0.13839	0.78817	3.64E-06	3.54E-05
ATP7A	4	-0.099843	-1.1234	0.97197	0.99833	0.26128	0.39658	-0.12882	-1.4493	0.94081	0.99439	0.14726	0.26077	-0.28297	-3.2127	0.44418	0.92939	0.001315	0.0052466	-0.18114	-1.9699	0.71754	0.97875	0.04885	0.11182
RBM18	4	-0.23825	-2.3447	0.60122	0.9597	0.01904	0.050798	-0.27204	-2.6755	0.50739	0.94175	0.0074624	0.024099	0.020437	0.21084	0.62254	0.96842	0.83301	0.88914	-0.024118	-0.23399	0.75499	0.98399	0.81499	0.88198
MAP1A	4	-0.433	-4.518	0.23164	0.85982	6.24E-06	4.72E-05	-0.39571	-4.1547	0.26748	0.87663	3.26E-05	0.00021751	-0.6666	-7.018	0.050129	0.65617	2.25E-12	5.48E-11	-0.7176	-6.9076	0.034342	0.57565	4.93E-12	1.49E-10
ISOC2	3	0.044277	0.50508	0.48815	0.94213	0.61351	0.72857	0.075279	0.85996	0.37018	0.90946	0.38981	0.53595	-0.057997	-0.66501	0.88865	0.99048	0.50604	0.6327	0.078103	0.8826	0.43083	0.92953	0.37745	0.5267
BCMO1	4	-0.0038032	-0.041517	0.64148	0.96341	0.96688	0.98136	0.035858	0.39322	0.48211	0.93695	0.69416	0.79857	0.071062	0.79432	0.47047	0.93508	0.42701	0.55862	0.052299	0.55784	0.50445	0.94282	0.57695	0.70735
C5orf62	2	0.0047338	0.036502	0.60973	0.96094	0.97088	0.98368	-0.16489	-1.2593	0.81798	0.98426	0.20792	0.33811	-0.023416	-0.18372	0.77084	0.98166	0.85423	0.90329	-0.11289	-0.84046	0.93814	0.99769	0.40065	0.54867
DHRS11	3	-0.17591	-1.6298	0.78056	0.98403	0.10315	0.19486	-0.33451	-3.0657	0.37063	0.90946	0.0021716	0.0085063	-0.058645	-0.55966	0.89087	0.99084	0.57571	0.69279	-0.21291	-1.9041	0.62434	0.96422	0.056893	0.12615
FMO4	3	-0.2685	-2.7768	0.52488	0.94466	0.0054889	0.018016	-0.14069	-1.4675	0.89986	0.99087	0.14223	0.25413	-0.19834	-2.0924	0.65783	0.97252	0.0364	0.083013	-0.23555	-2.3847	0.56124	0.95242	0.017095	0.04861
FAM49B	3	-0.18306	-1.7198	0.7591	0.98234	0.085462	0.16817	-0.10026	-0.94977	0.95577	0.99677	0.34223	0.48815	-0.039162	-0.37938	0.82483	0.98827	0.7044	0.79469	-0.12397	-1.1349	0.90064	0.99602	0.25643	0.3962
CRNN	6	-0.28961	-3.872	0.47605	0.94039	0.00010796	0.00060568	-0.086662	-1.1786	0.9075	0.99192	0.23854	0.37505	0.0077318	0.10762	0.66382	0.97386	0.9143	0.94437	-0.15106	-1.9828	0.81217	0.98895	0.047387	0.10915
CSMD2	5	-0.03237	-0.35346	0.73844	0.98022	0.72375	0.81515	-0.18692	-2.018	0.74752	0.97514	0.043591	0.10127	-0.26694	-2.9372	0.4801	0.93708	0.003312	0.011424	-0.20067	-2.0772	0.65998	0.97122	0.037779	0.091196
ARID5A	2	-0.52555	-3.2213	0.1403	0.77977	0.0012762	0.0052342	-0.40964	-2.5546	0.24666	0.87111	0.010632	0.032236	-0.25538	-1.6662	0.50675	0.94153	0.095676	0.17974	-0.43472	-2.5717	0.19608	0.83396	0.01012	0.031609
ZDHHC3	4	-0.22038	-2.4518	0.64996	0.96663	0.014215	0.039795	-0.099097	-1.1141	0.95154	0.99582	0.26524	0.406	-0.20488	-2.3308	0.63927	0.97185	0.019766	0.050256	-0.14373	-1.5629	0.83526	0.98962	0.11808	0.22126
CAPN13	4	-0.36093	-3.7875	0.33585	0.90248	0.00015214	0.00082226	-0.28193	-2.9865	0.48331	0.93732	0.0028221	0.010636	-0.40141	-4.3133	0.23876	0.87965	1.61E-05	0.00011217	-0.45132	-4.5145	0.17714	0.82028	6.35E-06	5.83E-05
ID3	6	-0.16884	-2.1143	0.80231	0.98543	0.034489	0.081825	-0.22599	-2.8225	0.62921	0.9626	0.0047656	0.016553	0.10138	1.3242	0.38943	0.91604	0.18542	0.29976	0.058428	0.72361	0.4867	0.94281	0.4693	0.61377
SEC16B	3	-0.30813	-2.7273	0.4356	0.93701	0.0063864	0.020427	-0.31105	-2.7593	0.41718	0.92001	0.0057928	0.019465	-0.58201	-5.1767	0.083575	0.73508	2.26E-07	2.40E-06	-0.57066	-4.6986	0.086813	0.71941	2.62E-06	2.64E-05
PRR25	3	-0.30862	-2.5545	0.43462	0.93698	0.010633	0.031176	-0.21981	-1.8415	0.64658	0.96334	0.065543	0.14028	-0.31732	-2.7086	0.37277	0.90997	0.0067573	0.020873	-0.25932	-2.07	0.49947	0.94282	0.038449	0.09248
PRR16	3	0.1775	1.767	0.1844	0.82483	0.077222	0.15527	0.23375	2.3369	0.096561	0.72698	0.019444	0.052961	0.11862	1.1958	0.34884	0.90393	0.23178	0.35538	0.17492	1.7044	0.21485	0.8408	0.088309	0.1771
CDKN2AIP	6	-0.14321	-1.6341	0.88362	0.99461	0.10224	0.19345	-0.077228	-0.88894	0.87423	0.98949	0.37404	0.52002	-0.20029	-2.3408	0.65223	0.97214	0.019243	0.049134	-0.15614	-1.7136	0.79581	0.98633	0.086595	0.17438
MUT	3	-0.11713	-1.0941	0.96871	0.99833	0.2739	0.41094	-0.35274	-3.239	0.33666	0.89512	0.0011996	0.0051015	-0.45287	-4.2278	0.179	0.83369	2.36E-05	0.0001569	-0.45425	-3.9619	0.17409	0.81706	7.44E-05	0.00049528
EFR3A	2	0.077746	0.59233	0.39449	0.92905	0.55363	0.68033	-0.13085	-0.98366	0.93356	0.99413	0.32528	0.47065	0.091136	0.70849	0.41602	0.92346	0.47864	0.60734	0.024339	0.17949	0.59101	0.95951	0.85755	0.91095
VIPR2	2	-0.25304	-1.6685	0.56214	0.95293	0.095222	0.18332	-0.25768	-1.7031	0.54419	0.94786	0.08855	0.17723	-0.44088	-2.9483	0.19204	0.8515	0.0031954	0.011083	-0.32862	-2.0558	0.35143	0.90051	0.039804	0.095136
PKP3	4	-0.0054055	-0.057888	0.64678	0.96559	0.95384	0.9726	-0.0053483	-0.057378	0.62098	0.96002	0.95424	0.9741	-0.13067	-1.4169	0.86565	0.98983	0.1565	0.26339	-0.065294	-0.67734	0.8996	0.99602	0.49819	0.63921
PDRG1	2	-0.87186	-5.4388	0.0203	0.45567	5.36E-08	6.00E-07	-0.9415	-5.8329	0.011103	0.35486	5.45E-09	7.75E-08	-1.1195	-7.0711	0.0033527	0.29798	1.54E-12	3.84E-11	-0.87099	-5.104	0.013192	0.44449	3.33E-07	4.08E-06
ISG20L2	2	-0.36162	-2.657	0.33443	0.90079	0.0078838	0.02434	-0.28478	-2.1119	0.47689	0.93663	0.034696	0.084314	-0.29921	-2.2683	0.40911	0.9225	0.023313	0.057633	-0.40326	-2.8421	0.23462	0.85103	0.0044813	0.016035
KRTAP5-5	2	0.33547	2.5337	0.042218	0.57678	0.011285	0.03277	0.49066	3.7425	0.0090017	0.32881	0.00018218	0.00099292	0.13589	1.0336	0.3112	0.89574	0.30132	0.43324	0.25563	1.8732	0.10805	0.75136	0.061047	0.13347
CTR9	3	-0.51155	-4.9572	0.15155	0.79369	7.15E-07	6.53E-06	-0.45089	-4.401	0.19524	0.84828	1.08E-05	8.09E-05	-0.57817	-5.716	0.085424	0.74033	1.09E-08	1.50E-07	-0.45834	-4.3176	0.17023	0.81301	1.58E-05	0.00012942
PPP1R36	3	-0.60344	-4.6336	0.090568	0.70622	3.59E-06	2.84E-05	-0.18782	-1.5235	0.74459	0.97495	0.12765	0.23422	-0.13456	-1.127	0.85283	0.98899	0.25974	0.38761	-0.44226	-3.2987	0.18698	0.82594	0.00097139	0.0044423
FBXL16	4	-0.13798	-1.5283	0.90045	0.99475	0.12645	0.2286	-0.18512	-2.0474	0.75296	0.97639	0.040618	0.095768	-0.37616	-4.192	0.2741	0.88983	2.77E-05	0.00018013	-0.20079	-2.1476	0.65951	0.97122	0.031749	0.079561
NMU	5	-0.10146	-1.3074	0.97742	0.99833	0.19108	0.31341	-0.10722	-1.3834	0.9805	0.99757	0.16653	0.28618	-0.13031	-1.7067	0.867	0.98983	0.087884	0.1676	-0.092801	-1.1675	0.9936	0.99991	0.24302	0.38133
ZNF143	3	-0.25794	-2.4082	0.54992	0.94837	0.016031	0.044121	-0.52801	-4.8393	0.12589	0.7778	1.30E-06	1.20E-05	-0.31319	-2.9762	0.38092	0.91324	0.0029181	0.010281	-0.26334	-2.3909	0.48978	0.94281	0.016809	0.047985
DNHD1	3	-0.28599	-3.0118	0.48408	0.94079	0.0025974	0.009599	-0.20172	-2.1368	0.70135	0.97052	0.032618	0.080284	-0.13376	-1.4394	0.85546	0.98905	0.15004	0.25478	-0.16913	-1.756	0.75514	0.98399	0.079082	0.16269
ARHGAP17	4	-0.29426	-3.8085	0.46562	0.9387	0.00013982	0.00076256	-0.2674	-3.4676	0.51926	0.94422	0.00052518	0.0025015	-0.19948	-2.6155	0.65452	0.97214	0.0089103	0.026173	-0.12349	-1.587	0.90218	0.99602	0.11252	0.21364
SEMA6A	4	-0.094619	-1.0305	0.95322	0.99771	0.30279	0.44233	-0.15712	-1.7066	0.8438	0.98865	0.087897	0.17619	-0.062402	-0.69527	0.90431	0.99175	0.48689	0.61511	-0.14628	-1.5388	0.82709	0.98961	0.12385	0.22935
SLC27A4	3	-0.24226	-2.1778	0.59062	0.9579	0.029424	0.072096	-0.12711	-1.1559	0.94722	0.99564	0.24773	0.38615	-0.14071	-1.305	0.83304	0.98899	0.19189	0.30775	-0.20363	-1.777	0.6509	0.96901	0.075564	0.15724
PDE1B	4	-0.19332	-2.3051	0.72817	0.97914	0.021164	0.055503	-0.34909	-4.1302	0.34333	0.89926	3.63E-05	0.00023739	-0.30999	-3.7372	0.38711	0.9147	0.00018611	0.00095717	-0.31639	-3.6487	0.37517	0.91252	0.00026355	0.0014742
DCTN2	3	-0.40372	-4.0509	0.27089	0.87691	5.10E-05	0.00031239	-0.34096	-3.4423	0.3582	0.90172	0.00057673	0.0027174	-0.4857	-4.9514	0.14845	0.81679	7.37E-07	7.02E-06	-0.45575	-4.4226	0.17246	0.81536	9.75E-06	8.52E-05
TNFSF11	3	-0.33785	-3.625	0.37767	0.92068	0.00028902	0.0014351	-0.26377	-2.8443	0.52841	0.94422	0.0044503	0.015645	-0.18194	-1.9921	0.70572	0.9773	0.046362	0.10067	-0.29087	-3.0654	0.42713	0.92823	0.0021738	0.008747
CDKL2	6	-0.07745	-1.0677	0.89487	0.99463	0.28567	0.42361	-0.15953	-2.1911	0.83578	0.98581	0.028447	0.072023	-0.27333	-3.7986	0.46504	0.93239	0.00014549	0.0007759	-0.21936	-2.9069	0.60576	0.96178	0.0036502	0.013528
PER3	6	0.04471	0.62698	0.48711	0.94157	0.53067	0.66037	-0.15674	-2.1741	0.84502	0.98865	0.029698	0.074489	0.029212	0.41621	0.59511	0.96253	0.67726	0.77399	-0.001838	-0.02508	0.67887	0.97382	0.97999	0.98725
ANKRD65	10	-0.10364	-1.7741	0.98505	0.99867	0.076053	0.15328	-0.14112	-2.414	0.89826	0.99052	0.015776	0.044627	-0.079186	-1.3856	0.96283	0.99787	0.16586	0.275	-0.081285	-1.3556	0.95505	0.99877	0.17522	0.29806
FAM46B	6	0.037438	0.4628	0.50842	0.94316	0.64351	0.7526	0.055947	0.69412	0.42316	0.92345	0.48761	0.62697	0.19838	2.5342	0.19597	0.8515	0.01127	0.031815	0.17472	2.1205	0.21519	0.84101	0.033968	0.083768
AK1	3	0.074182	0.73807	0.40408	0.93185	0.46047	0.59825	0.058879	0.5862	0.41464	0.92001	0.55774	0.68939	0.037016	0.37365	0.57022	0.95937	0.70866	0.79799	0.072146	0.70159	0.44714	0.93456	0.48293	0.62642
COQ7	6	-0.20693	-2.836	0.6879	0.96974	0.0045679	0.015393	-0.10596	-1.4645	0.97607	0.99747	0.14305	0.25522	-0.19952	-2.791	0.65443	0.97214	0.0052549	0.016882	-0.12518	-1.681	0.89652	0.99602	0.09277	0.1839
MRGPRX2	2	0.32669	2.2537	0.045674	0.58759	0.024217	0.06187	0.19946	1.3658	0.13381	0.78529	0.17199	0.29335	0.39	2.7562	0.038326	0.60799	0.0058477	0.018485	0.36589	2.4619	0.039474	0.59448	0.01382	0.040829
LIN52	3	0.18622	1.724	0.17187	0.81111	0.084712	0.16698	0.23052	2.1435	0.099236	0.73032	0.032073	0.079351	0.13533	1.2729	0.31254	0.89574	0.20305	0.32186	0.26994	2.4544	0.094759	0.7258	0.014113	0.041511
LGALS14	3	-0.18344	-1.9612	0.75795	0.98231	0.049856	0.11004	-0.14229	-1.5262	0.89418	0.99024	0.12697	0.23325	-0.15454	-1.6766	0.78889	0.98297	0.093617	0.17645	-0.15161	-1.5927	0.81026	0.98872	0.11122	0.21169
ASB1	6	0.031504	0.44892	0.52562	0.94466	0.65349	0.7604	0.019855	0.28315	0.53223	0.94516	0.77706	0.85799	0.012443	0.17981	0.64872	0.97214	0.8573	0.90582	-0.018512	-0.25764	0.73537	0.9811	0.79669	0.86944
B3GALNT1	3	-0.094574	-0.88776	0.95309	0.99771	0.37467	0.51681	-0.12805	-1.2015	0.94348	0.99487	0.22958	0.36464	-0.087604	-0.83998	0.99111	0.99918	0.40092	0.53429	-0.11096	-1.0106	0.94454	0.9985	0.3122	0.4578
CCDC110	2	-0.32937	-2.7827	0.39327	0.92815	0.0053911	0.017745	-0.1865	-1.5911	0.74884	0.97531	0.11158	0.21151	-0.19321	-1.6711	0.67237	0.97465	0.094698	0.17816	-0.10092	-0.84595	0.97862	0.99954	0.39758	0.54553
GOLGA5	3	-0.03189	-0.29331	0.73669	0.97962	0.76929	0.84725	-0.04875	-0.44872	0.77186	0.98024	0.65363	0.76738	0.052059	0.49154	0.52509	0.94509	0.62304	0.73188	0.12398	1.1224	0.31506	0.88618	0.26167	0.40198
NALCN	4	-0.13773	-1.6453	0.90117	0.99475	0.099912	0.19017	-0.13322	-1.594	0.9253	0.99315	0.11095	0.21066	-0.13786	-1.6719	0.84216	0.98899	0.094548	0.17793	-0.15612	-1.8236	0.79587	0.98633	0.068219	0.14562
SYNE1	3	-0.67951	-6.078	0.059108	0.64047	1.22E-09	1.76E-08	-0.43262	-3.9756	0.21666	0.85516	7.02E-05	0.00042944	-0.44799	-4.2121	0.18425	0.84485	2.53E-05	0.00016648	-0.49806	-4.3701	0.13414	0.78521	1.24E-05	0.00010541
EP300	4	-0.028714	-0.34168	0.72551	0.97864	0.73259	0.82181	0.11831	1.4198	0.26754	0.87663	0.15568	0.27188	0.11183	1.3577	0.36449	0.90718	0.17456	0.28602	0.08429	0.98925	0.41384	0.92276	0.32254	0.46937
KCNJ12	2	-0.34695	-2.495	0.36066	0.91043	0.012595	0.035973	-0.37385	-2.6885	0.30035	0.88513	0.0071771	0.023328	-0.47099	-3.4512	0.16157	0.81955	0.00055801	0.0025181	-0.443	-3.0206	0.18603	0.82452	0.0025227	0.0099216
DMRTA1	4	-0.47774	-4.1817	0.18278	0.8229	2.89E-05	0.00018901	-0.42724	-3.7767	0.22376	0.85954	0.00015891	0.00088126	-0.32951	-3.04	0.35038	0.90426	0.0023658	0.0086411	-0.087692	-0.77163	0.97647	0.99913	0.44033	0.58726
PEAK1	4	0.010274	0.10757	0.5913	0.95803	0.91434	0.94746	-0.3207	-3.2714	0.39706	0.91488	0.0010703	0.0046126	-0.15119	-1.6014	0.79999	0.98451	0.10928	0.1992	-0.18556	-1.8451	0.70429	0.97675	0.065028	0.14022
CD300E	3	0.3291	3.3582	0.044744	0.58448	0.00078445	0.003435	0.21662	2.2021	0.11353	0.75308	0.02766	0.070346	0.28745	2.9653	0.093507	0.74093	0.0030235	0.010588	0.29725	2.9756	0.074252	0.69925	0.0029239	0.011238
TEX12	3	-0.14668	-1.4331	0.87264	0.99434	0.15182	0.26329	-0.19474	-1.9001	0.72267	0.97163	0.05742	0.12628	-0.029293	-0.29339	0.7911	0.98297	0.76922	0.84476	-0.068477	-0.65591	0.91065	0.99671	0.51188	0.65165
PKD1L1	3	0.10846	1.0414	0.32033	0.89731	0.29768	0.43687	0.026745	0.25592	0.51009	0.94175	0.79801	0.87282	-0.16479	-1.5874	0.75729	0.98048	0.11242	0.20371	0.045891	0.42754	0.5236	0.94787	0.66898	0.77895
NUDT15	3	-0.054904	-0.51152	0.8164	0.98719	0.60898	0.72541	-0.090614	-0.8437	0.92135	0.99287	0.39884	0.54493	-0.22213	-2.0925	0.5916	0.96221	0.036394	0.083009	-0.21732	-1.9336	0.61138	0.96297	0.053166	0.11945
PAIP2B	5	-0.0042844	-0.056663	0.64303	0.96404	0.95481	0.97288	0.042717	0.56709	0.46212	0.93221	0.57065	0.69947	0.022041	0.29622	0.61774	0.96818	0.76706	0.84316	0.080569	1.049	0.42358	0.92769	0.29418	0.43791
FBXW8	4	0.068302	0.82928	0.42025	0.93575	0.40695	0.54819	0.060422	0.73424	0.41023	0.91754	0.4628	0.60436	0.071463	0.87879	0.46951	0.93451	0.37951	0.51442	0.16589	1.9889	0.23054	0.84788	0.046708	0.10781
ZNF287	4	-0.14299	-1.5283	0.88436	0.99461	0.12645	0.2286	0.00082974	0.0089777	0.59982	0.9575	0.99284	0.99547	-0.17918	-1.9537	0.714	0.97739	0.050731	0.10821	-0.016145	-0.16942	0.7277	0.97931	0.86546	0.91617
MS4A2	2	-0.33237	-1.9402	0.38768	0.9254	0.052361	0.11422	-0.39739	-2.3106	0.26492	0.87663	0.020856	0.056072	-0.1453	-0.88746	0.81818	0.98694	0.37483	0.50982	-0.15334	-0.87863	0.80496	0.98786	0.3796	0.52867
TSHZ3	2	-0.47589	-3.6472	0.18459	0.82483	0.0002651	0.0013319	-0.48125	-3.6958	0.1648	0.82305	0.00021919	0.0011734	-0.22932	-1.8343	0.57314	0.95937	0.066607	0.13447	0.080217	0.62586	0.42444	0.92789	0.53141	0.66781
DYRK1A	3	-0.37909	-4.1522	0.30732	0.89174	3.29E-05	0.00021189	-0.36756	-4.0325	0.31097	0.88684	5.52E-05	0.00034585	-0.43136	-4.7752	0.20286	0.85538	1.80E-06	1.56E-05	-0.57286	-6.1009	0.08578	0.71615	1.05E-09	2.17E-08
BEND6	4	-0.22676	-2.419	0.63261	0.96217	0.015565	0.043008	-0.29158	-3.1012	0.46116	0.93105	0.0019276	0.0076904	-0.20082	-2.1954	0.65081	0.97214	0.028135	0.067154	-0.12147	-1.2689	0.90978	0.99671	0.20449	0.33449
TMEM219	4	-0.026911	-0.29014	0.7195	0.97771	0.77171	0.84901	0.020486	0.22199	0.53005	0.94422	0.82432	0.89061	-0.17754	-1.9364	0.71927	0.97759	0.052822	0.11187	-0.026823	-0.28121	0.76482	0.984	0.77855	0.85634
PROK2	4	0.31275	3.3974	0.05277	0.61609	0.00068027	0.0030309	0.053484	0.57316	0.43021	0.92558	0.56653	0.69604	0.0066221	0.072018	0.66762	0.97388	0.94259	0.96359	0.11684	1.2244	0.33181	0.89293	0.22082	0.35461
OR51B6	2	0.056262	0.49767	0.45419	0.9387	0.61872	0.73276	-0.00097041	-0.0085738	0.60613	0.95881	0.99316	0.99559	0.056942	0.50915	0.51052	0.94174	0.61065	0.72198	0.14003	1.2245	0.2808	0.86968	0.22077	0.35456
KLHL5	5	-0.27498	-4.0631	0.50958	0.94316	4.84E-05	0.00029802	-0.21904	-3.2443	0.64887	0.96383	0.0011774	0.0050169	-0.21602	-3.2233	0.60762	0.96491	0.0012673	0.0050755	-0.19949	-2.9202	0.66342	0.97219	0.0034981	0.01307
C15orf52	3	-0.21684	-2.0012	0.6595	0.9684	0.045366	0.1021	-0.4598	-4.1658	0.18629	0.84511	3.10E-05	0.00020754	-0.49359	-4.5733	0.14232	0.80578	4.80E-06	3.79E-05	-0.44729	-3.9009	0.18138	0.82028	9.58E-05	0.00061517
TBC1D17	3	0.19058	2.0892	0.16581	0.80703	0.036691	0.086135	0.069825	0.76304	0.38487	0.91412	0.44544	0.58805	0.1327	1.466	0.31799	0.89605	0.14266	0.24463	0.16231	1.7535	0.23684	0.85234	0.07951	0.16345
